2011-12-30 16:58:26,772 [1] INFO  LogBenchmark.Log4NetUse Check write
2011-12-30 16:58:27.0303|INFO|LogBenchmark.NLogUse|Check write
None_dotNet	Em_1	3,51 ns (-0,124|+0,2251) min time:97 tics
Log4Net_dotNet	N0_1	31,4 ns (-0,3275|+0,3707) min time:89 tics
Log4Net_dotNet	N0_100	31,85 ns (-0,7835|+3,755) min time:89 tics
Log4Net_dotNet	N1_1	40,35 ns (-1,252|+2,937) min time:112 tics
Log4Net_dotNet	N3_1	60,58 ns (-1,236|+8,801) min time:136 tics
Log4Net_dotNet	P0_1	27,67 ns (-0,3222|+0,2596) min time:94 tics
NLog_dotNet	N0_1	6,825 ns (-0,05287|+0,01695) min time:97 tics
NLog_dotNet	N0_100	6,83 ns (-0,05769|+0,01213) min time:97 tics
NLog_dotNet	N1_1	7,248 ns (-0,1262|+0,01345) min time:102 tics
NLog_dotNet	N3_1	7,931 ns (-0,04141|+0,02841) min time:113 tics
NLog_dotNet	P0_1	4,438 ns (-0,004365|+0,03054) min time:127 tics
