2011-12-30 16:53:22,595 [1] INFO  LogBenchmark.Log4NetUse Check write
2011-12-30 16:53:22.7253|INFO|LogBenchmark.NLogUse|Check write
None_mono	Em_1	3.518 ns (-0.4475|+0.01245) min time:307 tics
Log4Net_mono	N0_1	46.16 ns (-3.164|+1.336) min time:430 tics
Log4Net_mono	N0_100	46.12 ns (-3.215|+1.685) min time:429 tics
Log4Net_mono	N1_1	124.3 ns (-2.876|+3.524) min time:1214 tics
Log4Net_mono	N3_1	310.8 ns (-38.94|+1101) min time:2175 tics
Log4Net_mono	P0_1	39.46 ns (-3.128|+1.288) min time:436 tics
NLog_mono	N0_1	7.196 ns (-0.3558|+0.2642) min time:342 tics
NLog_mono	N0_100	7.284 ns (-1.144|+0.5364) min time:307 tics
NLog_mono	N1_1	7.908 ns (-0.1083|+0.2717) min time:390 tics
NLog_mono	N3_1	8.424 ns (-0.06425|+0.09575) min time:418 tics
NLog_mono	P0_1	4.098 ns (-0.01798|+0.02202) min time:408 tics
